Time step, vx, vy, vz, normv
161000,-3.152492e-05,-1.643097e-05,0.0002613287,0.0002637357
162000,-3.05299e-05,-1.82314e-05,0.000261027,0.0002634379
163000,-3.08011e-05,-1.869117e-05,0.0002608415,0.0002633179
164000,-3.118138e-05,-1.874085e-05,0.0002621506,0.0002646629
165000,-2.909066e-05,-1.996196e-05,0.0002612141,0.0002635859
166000,-2.820023e-05,-2.01987e-05,0.0002612338,0.0002635268
167000,-2.756356e-05,-2.039196e-05,0.0002607079,0.0002629529
168000,-2.621842e-05,-1.989748e-05,0.0002601174,0.0002621915
169000,-2.407049e-05,-2.084203e-05,0.0002599311,0.0002618739
170000,-2.316942e-05,-2.02473e-05,0.0002610598,0.0002628669
171000,-2.032209e-05,-2.013065e-05,0.0002632499,0.0002647994
172000,-1.915429e-05,-1.973429e-05,0.0002615261,0.0002629681
173000,-1.773336e-05,-1.936628e-05,0.0002601331,0.000261455
174000,-1.52199e-05,-1.972705e-05,0.0002620203,0.0002632023
175000,-1.253564e-05,-1.95278e-05,0.0002625069,0.0002635306
176000,-9.296053e-06,-1.904447e-05,0.0002601682,0.0002610299
177000,-8.069454e-06,-1.780302e-05,0.0002599653,0.0002606991
178000,-4.998774e-06,-1.708019e-05,0.0002614067,0.0002620118
179000,-1.880468e-06,-1.712349e-05,0.0002619569,0.0002625227
180000,1.195184e-06,-1.581057e-05,0.0002608241,0.0002613056
181000,2.815697e-06,-1.445754e-05,0.0002603664,0.0002607827
182000,5.491679e-06,-1.384803e-05,0.0002605206,0.0002609462
183000,9.65146e-06,-1.331965e-05,0.0002593574,0.0002598784
184000,1.146766e-05,-1.143466e-05,0.0002615521,0.000262053
185000,1.331666e-05,-9.992945e-06,0.0002602231,0.0002607552
186000,1.611453e-05,-8.794577e-06,0.0002580672,0.0002587194
187000,1.894905e-05,-7.581079e-06,0.0002593119,0.0002601138
188000,2.070532e-05,-6.242172e-06,0.000261396,0.000262289
189000,2.212507e-05,-5.122e-06,0.0002582969,0.0002592934
190000,2.426708e-05,-3.16678e-06,0.0002566788,0.0002578428
191000,2.51048e-05,-1.940298e-06,0.0002576704,0.0002588978
192000,2.741719e-05,-3.605316e-07,0.0002578909,0.0002593444
193000,2.913098e-05,1.572378e-06,0.0002562791,0.0002579342
194000,2.990611e-05,2.66049e-06,0.0002559949,0.0002577496
195000,2.984768e-05,4.697764e-06,0.0002564376,0.0002582116
196000,3.134287e-05,6.116926e-06,0.0002565793,0.000258559
197000,3.247948e-05,7.81004e-06,0.0002562996,0.0002584674
198000,3.273248e-05,9.411009e-06,0.0002558349,0.000258092
199000,3.275341e-05,1.077205e-05,0.0002558261,0.0002581392
200000,3.344213e-05,1.322388e-05,0.0002552732,0.0002577938
201000,3.457899e-05,1.465968e-05,0.0002578011,0.0002605225
202000,3.371909e-05,1.625165e-05,0.0002582288,0.0002609276
203000,3.431482e-05,1.733253e-05,0.0002568692,0.0002597301
204000,3.34395e-05,1.896871e-05,0.0002577048,0.0002605567
205000,3.396119e-05,2.020955e-05,0.0002584214,0.0002614258
206000,3.446304e-05,2.110501e-05,0.000260724,0.0002638373
207000,3.342401e-05,2.128132e-05,0.0002603635,0.0002633614
208000,3.279152e-05,2.191763e-05,0.0002594673,0.000262448
209000,3.219551e-05,2.280531e-05,0.000260196,0.0002631703
210000,3.179999e-05,2.294585e-05,0.0002604599,0.0002633953
211000,3.052958e-05,2.303488e-05,0.000260939,0.0002637268
212000,2.894621e-05,2.395338e-05,0.0002613192,0.0002640064
213000,2.764316e-05,2.356778e-05,0.0002603861,0.0002629078
214000,2.650342e-05,2.394286e-05,0.000260811,0.0002632452
215000,2.501716e-05,2.454032e-05,0.0002598649,0.0002622172
216000,2.314086e-05,2.314757e-05,0.0002603855,0.0002624346
217000,2.139198e-05,2.389905e-05,0.0002609686,0.0002629323
218000,2.04079e-05,2.405309e-05,0.0002610712,0.0002629699
219000,1.91708e-05,2.22132e-05,0.0002625295,0.0002641641
220000,1.69006e-05,2.104192e-05,0.0002615311,0.00026292
221000,1.489935e-05,2.017105e-05,0.0002605657,0.0002617696
222000,1.358454e-05,1.91628e-05,0.0002625888,0.0002636373
223000,1.16698e-05,1.745259e-05,0.0002627624,0.0002635998
224000,9.829419e-06,1.590532e-05,0.0002629539,0.0002636178
225000,8.40582e-06,1.492078e-05,0.000261758,0.0002623176
226000,6.945889e-06,1.288047e-05,0.0002642804,0.0002646852
227000,5.398906e-06,1.163704e-05,0.0002651733,0.0002654835
228000,4.105361e-06,9.833091e-06,0.0002636549,0.0002638701
229000,2.025904e-06,8.060647e-06,0.0002637433,0.0002638742
230000,9.44362e-07,5.841333e-06,0.0002653685,0.0002654344
231000,-3.673227e-07,4.664715e-06,0.0002640904,0.0002641319
232000,-1.61482e-06,3.068738e-06,0.0002620591,0.0002620821
233000,-2.801341e-06,2.279313e-06,0.0002630307,0.0002630555
234000,-3.441886e-06,3.87529e-07,0.0002644188,0.0002644415
235000,-4.653744e-06,-8.873149e-07,0.0002626456,0.0002626883
236000,-5.596391e-06,-1.732727e-06,0.000259987,0.000260053
237000,-6.349209e-06,-2.191616e-06,0.0002621482,0.0002622342
238000,-6.763106e-06,-3.228314e-06,0.0002627843,0.0002628911
239000,-7.643449e-06,-4.336757e-06,0.0002606908,0.0002608389
240000,-8.164616e-06,-4.353162e-06,0.0002586801,0.0002588455
241000,-8.93758e-06,-4.793697e-06,0.0002598294,0.0002600273
242000,-8.907211e-06,-5.017881e-06,0.0002604159,0.0002606165
243000,-9.764121e-06,-5.682753e-06,0.0002578513,0.0002580986
244000,-9.633691e-06,-6.085029e-06,0.0002562434,0.0002564966
245000,-1.008481e-05,-6.113366e-06,0.0002564351,0.0002567061
246000,-9.970922e-06,-5.938049e-06,0.000257426,0.0002576875
247000,-1.091716e-05,-5.315744e-06,0.000255012,0.000255301
248000,-1.029037e-05,-4.375812e-06,0.0002547079,0.0002549532
249000,-1.080329e-05,-4.087816e-06,0.0002536517,0.0002539146
250000,-1.085683e-05,-3.942774e-06,0.0002542579,0.0002545201
251000,-1.075345e-05,-2.718274e-06,0.000254676,0.0002549174
252000,-1.119194e-05,-1.640601e-06,0.0002544033,0.0002546546
253000,-1.134972e-05,-8.74013e-07,0.0002533372,0.0002535928
254000,-1.155589e-05,-8.866269e-07,0.0002542406,0.0002545046
255000,-1.150311e-05,3.621765e-08,0.000254489,0.0002547489
256000,-1.191844e-05,1.147421e-06,0.0002548389,0.00025512
257000,-1.255516e-05,1.971329e-06,0.0002554974,0.0002558133
258000,-1.299433e-05,1.651484e-06,0.0002558563,0.0002561913
259000,-1.334252e-05,2.49087e-06,0.0002560523,0.0002564118
260000,-1.363957e-05,2.921956e-06,0.0002567285,0.0002571072
